"id","time","latitude","longitude","acenaphthene [mg/kg]","acenaphthylene [mg/kg]","anthracene [mg/kg]","benzo[a]anthracene [mg/kg]","benzo[a]pyrene [mg/kg]","benzo[b]fluoranthene + benzo[j]fluoranthene [mg/kg]","benzo[g,h,i]perylene [mg/kg]","benzo[k]fluoranthene [mg/kg]","chrysene [mg/kg]","dibenzo[a,h]anthracene [mg/kg]","fluoranthene [mg/kg]","fluorene [mg/kg]","indeno[1,2,3-cd]pyrene [mg/kg]","naphthalene [mg/kg]","phenanthrene [mg/kg]","pyrene [mg/kg]"
"SB2-1-Sphaerotylus",2023-10-21,-77.85383,166.7759,"< 0.0005","< 0.0005","< 0.0002","< 0.0002","< 0.0002","< 0.0002","< 0.0002","< 0.0002","< 0.0002","< 0.0002","< 0.0002","< 0.0005","< 0.0002","< 0.005","< 0.0010","< 0.0005"
"SB2-2-Sphaerotylus",2023-10-21,-77.85383,166.7759,"< 0.0005","< 0.0005","< 0.0002","< 0.0002","< 0.0002","< 0.0002","< 0.0002","< 0.0002","< 0.0002","< 0.0002","< 0.0002","< 0.0005","< 0.0002","< 0.005","< 0.0010","< 0.0005"
"SB2-3-Sphaerotylus",2023-10-21,-77.85383,166.7759,"< 0.0005","< 0.0005","< 0.0002","< 0.0002","< 0.0002","< 0.0002","< 0.0002","< 0.0002","< 0.0002","< 0.0002","< 0.0002","< 0.0005","< 0.0002","< 0.005","< 0.0010","< 0.0005"
"SB2-4-Sphaerotylus",2023-10-21,-77.85383,166.7759,"< 0.0005","< 0.0005","< 0.0002","< 0.0002","0.0003","0.0003","0.0003","< 0.0002","< 0.0002","< 0.0002","< 0.0002","< 0.0005","0.0002","< 0.005","< 0.0010","< 0.0005"
"SB2-5-Sphaerotylus",2023-10-21,-77.85383,166.7759,"< 0.0005","< 0.0005","< 0.0002","0.0004","0.0004","0.0005","0.0003","0.0002","0.0004","< 0.0002","0.0008","< 0.0005","0.0003","< 0.005","< 0.0010","0.0008"
"SB2-1-Laternula",2023-10-21,-77.85383,166.7759,"< 0.0015","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.003","< 0.0008","< 0.018","< 0.005","< 0.0008"
"SB2-2-Laternula",2023-10-21,-77.85383,166.7759,"< 0.0014","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.003","< 0.0007","< 0.018","< 0.005","< 0.0007"
"SB2-3-Laternula",2023-10-21,-77.85383,166.7759,"< 0.0014","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.002","< 0.0007","< 0.017","< 0.005","< 0.0007"
"SB2-4-Laternula",2023-10-21,-77.85383,166.7759,"< 0.0013","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0019","< 0.0007","< 0.016","< 0.005","< 0.0007"
"SB2-5-Laternula",2023-10-21,-77.85383,166.7759,"< 0.0014","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.002","< 0.0007","< 0.017","< 0.005","< 0.0007"
