"id","time","latitude","longitude","polychlorinated biphenyl 18 [mg/kg]","polychlorinated biphenyl 28 [mg/kg]","polychlorinated biphenyl 31 [mg/kg]","polychlorinated biphenyl 44 [mg/kg]","polychlorinated biphenyl 49 [mg/kg]","polychlorinated biphenyl 52 [mg/kg]","polychlorinated biphenyl 60 [mg/kg]","polychlorinated biphenyl 77 [mg/kg]","polychlorinated biphenyl 81 [mg/kg]","polychlorinated biphenyl 86 [mg/kg]","polychlorinated biphenyl 101 [mg/kg]","polychlorinated biphenyl 105 [mg/kg]","polychlorinated biphenyl 110 [mg/kg]","polychlorinated biphenyl 114 [mg/kg]","polychlorinated biphenyl 118 [mg/kg]","polychlorinated biphenyl 121 [mg/kg]","polychlorinated biphenyl 123 [mg/kg]","polychlorinated biphenyl 126 [mg/kg]","polychlorinated biphenyl 128 [mg/kg]","polychlorinated biphenyl 138 [mg/kg]","polychlorinated biphenyl 141 [mg/kg]","polychlorinated biphenyl 149 [mg/kg]","polychlorinated biphenyl 151 [mg/kg]","polychlorinated biphenyl 153 [mg/kg]","polychlorinated biphenyl 156 [mg/kg]","polychlorinated biphenyl 157 [mg/kg]","polychlorinated biphenyl 159 [mg/kg]","polychlorinated biphenyl 167 [mg/kg]","polychlorinated biphenyl 169 [mg/kg]","polychlorinated biphenyl 170 [mg/kg]","polychlorinated biphenyl 180 [mg/kg]","polychlorinated biphenyl 189 [mg/kg]","polychlorinated biphenyl 194 [mg/kg]","polychlorinated biphenyl 206 [mg/kg]","polychlorinated biphenyl 209 [mg/kg]"
"SB2-1-Sphaerotylus",2023-10-21,-77.85383,166.7759,"< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","0.0006","< 0.0005","< 0.0005","< 0.0005","< 0.0005","0.0009","< 0.0005","< 0.0005","< 0.0005","0.0006","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005"
"SB2-2-Sphaerotylus",2023-10-21,-77.85383,166.7759,"< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","0.0011","< 0.0005","< 0.0005","< 0.0005","0.0007","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005"
"SB2-3-Sphaerotylus",2023-10-21,-77.85383,166.7759,"< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","0.0006","< 0.0005","< 0.0005","< 0.0005","< 0.0005","0.0009","< 0.0005","< 0.0005","< 0.0005","0.0006","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005"
"SB2-4-Sphaerotylus",2023-10-21,-77.85383,166.7759,"< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","0.0006","< 0.0005","< 0.0005","< 0.0005","< 0.0005","0.001","< 0.0005","< 0.0005","< 0.0005","0.0007","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005"
"SB2-5-Sphaerotylus",2023-10-21,-77.85383,166.7759,"< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","0.0008","< 0.0005","< 0.0005","< 0.0005","< 0.0005","0.0015","< 0.0005","< 0.0005","< 0.0005","0.001","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005","< 0.0005"
"SB2-1-Laternula",2023-10-21,-77.85383,166.7759,"< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008","< 0.0008"
"SB2-2-Laternula",2023-10-21,-77.85383,166.7759,"< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007"
"SB2-3-Laternula",2023-10-21,-77.85383,166.7759,"< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","0.0034","0.0018","0.0028","< 0.0007","0.0042","< 0.0007","< 0.0007","< 0.0007","0.0011","0.0049","< 0.0007","0.0021","< 0.0007","0.0032","0.0008","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","0.0009","< 0.0007","< 0.0007","< 0.0007","< 0.0007"
"SB2-4-Laternula",2023-10-21,-77.85383,166.7759,"< 0.0007","< 0.0007","< 0.0007","0.0013","0.0006","0.0044","< 0.0007","< 0.0007","< 0.0007","< 0.0007","0.02","0.0119","0.0147","0.0007","0.028","< 0.0007","< 0.0007","< 0.0007","0.0066","0.029","0.0037","0.011","0.0024","0.0174","0.0041","0.001","< 0.0007","0.0014","< 0.0007","0.0029","0.0045","< 0.0007","< 0.0007","< 0.0007","< 0.0007"
"SB2-5-Laternula",2023-10-21,-77.85383,166.7759,"< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","0.0016","0.0008","0.0014","< 0.0007","0.002","< 0.0007","< 0.0007","< 0.0007","< 0.0007","0.002","< 0.0007","0.0009","< 0.0007","0.0013","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007","< 0.0007"
